song_id	genius_url	artist_name	song_name
31368	Method-man-and-redman-city-lights-lyrics	Method man and redman	city lights
31370	Method-man-cradle-rock-lyrics	Method man	cradle rock
31371	Iam-noble-art-lyrics	Iam	noble art
31372	Method-man-and-redman-fire-ina-hole-lyrics	Method man and redman	fire ina hole
31373	The-beatnuts-se-acabo-lyrics	The beatnuts	se acabo
31374	Method-man-and-redman-cheka-lyrics	Method man and redman	cheka
31375	Pete-rock-half-man-half-amazin-lyrics	Pete rock	half man half amazin
31378	Outkast-hey-ya-lyrics	Outkast	hey ya
31379	Outkast-nathaniel-lyrics	Outkast	nathaniel
31380	Outkast-pink-and-blue-lyrics	Outkast	pink and blue
31381	Outkast-hold-on-be-strong-lyrics	Outkast	hold on be strong
31382	Outkast-funky-ride-lyrics	Outkast	funky ride
31384	Outkast-god-interlude-lyrics	Outkast	god interlude
31385	Outkast-chronomentrophobia-lyrics	Outkast	chronomentrophobia
31387	Mick-jenkins-martyrs-lyrics	Mick jenkins	martyrs
31388	Mick-jenkins-jazz-lyrics	Mick jenkins	jazz
31389	Mick-jenkins-healer-lyrics	Mick jenkins	healer
31390	Mick-jenkins-the-waters-lyrics	Mick jenkins	the waters
31391	Mick-jenkins-drowning-lyrics	Mick jenkins	drowning
31393	Mick-jenkins-vibe-lyrics	Mick jenkins	vibe
31394	Mick-jenkins-dehydration-lyrics	Mick jenkins	dehydration
31395	Mick-jenkins-alchemy-lyrics	Mick jenkins	alchemy
31396	Kirk-knight-i-know-lyrics	Kirk knight	i know
31397	Mick-jenkins-your-love-lyrics	Mick jenkins	your love
31398	Mick-jenkins-shipwrecked-lyrics	Mick jenkins	shipwrecked
31399	Mick-jenkins-black-sheep-lyrics	Mick jenkins	black sheep
31401	Mick-jenkins-daniels-bloom-lyrics	Mick jenkins	daniels bloom
31402	Mick-jenkins-communicate-lyrics	Mick jenkins	communicate
31403	Mick-jenkins-strange-love-lyrics	Mick jenkins	strange love
31404	Mick-jenkins-the-healing-component-lyrics	Mick jenkins	the healing component
31405	Mick-jenkins-understood-lyrics	Mick jenkins	understood
31406	Mick-jenkins-who-else-lyrics	Mick jenkins	who else
31407	Mick-jenkins-the-trees-lyrics	Mick jenkins	the trees
31408	Mick-jenkins-fucked-up-outro-lyrics	Mick jenkins	fucked up outro
31411	Mick-jenkins-fall-through-lyrics	Mick jenkins	fall through
31412	Saba-stay-right-here-lyrics	Saba	stay right here
31413	Mick-jenkins-1000-xans-lyrics	Mick jenkins	1000 xans
31416	Mick-jenkins-11-lyrics	Mick jenkins	11
31417	Mick-jenkins-negro-league-lyrics	Mick jenkins	negro league
31418	Mick-jenkins-get-up-get-down-lyrics	Mick jenkins	get up get down
31419	Mick-jenkins-piano-lyrics	Mick jenkins	piano
31421	Mick-jenkins-bruce-banner-lyrics	Mick jenkins	bruce banner
31422	Mick-jenkins-prosperity-lyrics	Mick jenkins	prosperity
31425	Mick-jenkins-as-seen-in-bethsaida-lyrics	Mick jenkins	as seen in bethsaida
31426	Mick-jenkins-headass-lyrics	Mick jenkins	headass
31427	Mick-jenkins-the-artful-dodger-lyrics	Mick jenkins	the artful dodger
